Participant,Stimulus,Trial,Time,Gaze_x,Gaze_y,Type,Target_TopLeft_x,Target_TopLeft_y,Target_BottomRight_x,Target_BottomRight_y
93wyqfq2c2,NF-1075,1.0,0.006,1017,599,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1075,1.0,0.063,963,553,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1075,1.0,0.166,858,510,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1075,1.0,0.244,810,483,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1075,1.0,0.321,776,464,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1075,1.0,0.386,745,445,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1075,1.0,0.448,721,431,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1075,1.0,-0.251,647,422,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.007,606,419,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.163,629,426,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.234,635,421,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.316,639,418,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.402,645,413,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.459,664,427,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.518,647,424,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.577,615,428,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.637,563,409,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.702,596,421,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.773,628,431,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.833,631,442,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.899,630,459,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,0.957,654,454,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.019,668,430,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.076,702,433,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.136,717,448,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.196,736,466,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.254,753,481,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.32,774,484,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.381,810,466,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.446,791,479,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.514,774,478,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.572,762,465,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.631,747,465,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.697,719,470,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.754,679,459,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.816,656,473,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.877,656,459,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1075,1.0,1.942,640,455,Image,144,69.0,1296,879.0
93wyqfq2c2,NF-1088,2.0,0.007,681,493,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1088,2.0,0.065,726,481,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1088,2.0,0.13,752,507,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1088,2.0,0.19,748,495,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1088,2.0,0.251,761,495,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1088,2.0,0.31,779,507,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1088,2.0,0.374,837,522,Fixation Cross,720,477.5,720,477.5
93wyqfq2c2,NF-1088,2.0,0.44,866,518,Fixation Cross,720,477.5,720,477.5
