Participant,Stimulus,Trial_Order_Phase1,Trial_Duration_Phase1,Rating_RT_Phase1,Cue_Color,Condition,Beauty,Attractiveness,Trustworthiness,Trial_Order_Phase2,Trial_Duration_Phase2,Rating_RT_Phase2,Realness
S052,NF-1046,1.0,2.0,5680.0,red,Reality,4,4,2,1.0,1.0,1124.0,-1
S052,NM-1027,2.0,2.0,5410.0,blue,Fiction,1,1,3,1.0,1.0,1557.0,2
S052,NF-1001,3.0,2.0,4469.0,red,Reality,2,2,4,1.0,1.0,1142.0,-2
S052,NF-1100,4.0,2.0,4758.0,blue,Fiction,3,3,4,1.0,1.0,1115.0,3
S052,NF-1004,5.0,2.0,3796.0,red,Reality,4,4,4,1.0,1.0,2210.0,-1
S052,NF-1005,6.0,2.0,5026.0,blue,Fiction,3,3,3,1.0,1.0,1059.0,0
S052,NF-1082,7.0,2.0,4783.0,red,Reality,3,3,4,1.0,1.0,995.0,0
S052,NF-1097,8.0,2.0,4138.0,blue,Fiction,5,5,4,1.0,1.0,2453.0,-3
S052,NF-1057,9.0,2.0,4824.0,red,Reality,1,1,3,1.0,1.0,1121.0,-3
S052,NF-1077,10.0,2.0,4655.0,blue,Fiction,4,4,4,1.0,1.0,896.0,2
S052,NF-1105,11.0,2.0,3862.0,blue,Fiction,5,5,4,1.0,1.0,1534.0,2
S052,NF-1069,12.0,2.0,4462.0,red,Reality,3,3,3,1.0,1.0,1346.0,-2
S052,NF-1047,13.0,2.0,3650.0,blue,Fiction,2,2,3,1.0,1.0,2629.0,0
S052,NF-1098,14.0,2.0,4451.0,blue,Fiction,5,5,3,1.0,1.0,964.0,2
S052,NF-1050,15.0,2.0,4143.0,red,Reality,2,2,3,1.0,1.0,1367.0,0
S052,NF-1003,16.0,2.0,4408.0,blue,Fiction,5,5,4,1.0,1.0,1624.0,2
S052,NF-1109,17.0,2.0,4228.0,red,Reality,2,2,3,1.0,1.0,1025.0,-3
S052,NF-1009,18.0,2.0,4598.0,red,Reality,5,5,4,1.0,1.0,1126.0,3
S052,NM-1070,19.0,2.0,4045.0,red,Reality,1,1,2,1.0,1.0,1240.0,0
S052,NF-1012,20.0,2.0,4452.0,red,Reality,4,4,3,1.0,1.0,1561.0,-2
S052,NF-1067,21.0,2.0,2528.0,blue,Fiction,3,3,3,1.0,1.0,2677.0,-2
S052,NF-1062,22.0,2.0,4444.0,red,Reality,4,4,4,1.0,1.0,1683.0,0
S052,NF-1099,23.0,2.0,3657.0,red,Reality,3,3,3,1.0,1.0,1389.0,-1
S052,NF-1039,24.0,2.0,3399.0,blue,Fiction,4,4,4,1.0,1.0,1826.0,-1
S052,NF-1073,25.0,2.0,3580.0,blue,Fiction,4,4,4,1.0,1.0,3455.0,-1
S052,NF-1072,26.0,2.0,3254.0,red,Reality,4,4,4,1.0,1.0,1823.0,0
S052,NF-1059,27.0,2.0,6749.0,blue,Fiction,4,4,4,1.0,1.0,2193.0,-1
S052,NF-1043,28.0,2.0,6659.0,blue,Fiction,4,4,4,1.0,1.0,1134.0,-3
S052,NF-1089,29.0,2.0,2653.0,red,Reality,4,4,4,1.0,1.0,776.0,2
S052,NF-1024,30.0,2.0,5334.0,blue,Fiction,2,2,4,1.0,1.0,1835.0,-1
S052,NM-1038,31.0,2.0,3808.0,red,Reality,1,1,3,1.0,1.0,884.0,0
S052,NF-1045,32.0,2.0,4569.0,red,Reality,2,2,3,1.0,1.0,977.0,0
S052,NF-1085,33.0,2.0,5304.0,blue,Fiction,5,5,4,1.0,1.0,936.0,1
S052,NM-1104,34.0,2.0,4591.0,red,Reality,1,1,3,1.0,1.0,1102.0,1
S052,NM-1074,35.0,2.0,3653.0,red,Reality,1,1,3,1.0,1.0,1173.0,-3
S052,NF-1068,36.0,2.0,5291.0,blue,Fiction,4,4,4,1.0,1.0,957.0,0
S052,NF-1066,37.0,2.0,5376.0,red,Reality,4,4,4,1.0,1.0,1044.0,1
S052,NF-1094,38.0,2.0,4500.0,red,Reality,5,5,5,1.0,1.0,1273.0,2
S052,NM-1091,39.0,2.0,3946.0,blue,Fiction,1,1,3,1.0,1.0,1162.0,3
S052,NM-1092,40.0,2.0,4736.0,blue,Fiction,1,1,2,1.0,1.0,897.0,-3
S052,NF-1080,41.0,2.0,5316.0,blue,Fiction,3,3,3,1.0,1.0,1008.0,-2
S052,NF-1076,42.0,2.0,4160.0,red,Reality,5,5,4,1.0,1.0,1619.0,2
S052,NF-1088,43.0,2.0,4937.0,red,Reality,4,4,4,1.0,1.0,1688.0,0
S052,NF-1083,44.0,2.0,4825.0,blue,Fiction,3,3,2,1.0,1.0,1019.0,2
S052,NM-1090,45.0,2.0,3533.0,blue,Fiction,1,1,1,1.0,1.0,1646.0,-1
S052,NM-1102,46.0,2.0,4000.0,red,Reality,1,1,3,1.0,1.0,1113.0,-3
S052,NF-1054,47.0,2.0,7609.0,blue,Fiction,4,4,4,1.0,1.0,1004.0,0
S052,NM-1035,48.0,2.0,3897.0,red,Reality,0,0,2,1.0,1.0,1058.0,-2
S052,NF-1103,49.0,2.0,5501.0,red,Reality,3,3,3,1.0,1.0,1575.0,-2
S052,NF-1053,50.0,2.0,7295.0,blue,Fiction,2,2,3,1.0,1.0,1006.0,1
S052,NF-1034,51.0,2.0,5021.0,red,Reality,2,2,3,1.0,1.0,1128.0,-2
S052,NF-1021,52.0,2.0,4101.0,red,Reality,5,5,5,1.0,1.0,1329.0,-1
S052,NF-1002,53.0,2.0,3710.0,red,Reality,5,5,4,1.0,1.0,908.0,2
S052,NM-1010,54.0,2.0,5266.0,blue,Fiction,0,0,1,1.0,1.0,914.0,-3
S052,NF-1017,55.0,2.0,5699.0,blue,Fiction,3,3,3,1.0,1.0,1127.0,1
S052,NF-1016,56.0,2.0,4374.0,red,Reality,5,5,5,1.0,1.0,1229.0,-1
